product_id,title,authors,category,pages,manufacturer
109793160,Combo 2 Cuốn: Bạn Không Thông Minh Lắm Đâu +  Bạn Đỡ Ngu Ngơ Rồi Đấy (Tái Bản),David McRaney,Sách tư duy - Kỹ năng sống,794,Nhà Xuất Bản Thế Giới
76776245,Nghệ Thuật Tư Duy Phản Biện,Albert Rutherford,Sách tư duy - Kỹ năng sống,280,Nhà Xuất Bản Lao Động
186271356,Từ điển xây kênh từ cơ bản đến thành công,Cấn Mạnh Linh,Sách Marketing - Bán hàng,312,Nhà Xuất Bản Thanh Niên
207494285,Tớ Rất Yêu Doraemon,Shintaro Mugiwara,Tớ Rất Yêu Doraemon,48,Nhà Xuất Bản Kim Đồng
202450678,Fullmetal Alchemist - Cang Giả Kim Thuật Sư - Fullmetal Edition Tập 17 [Tặng Kèm Bookmark PVC],Hiromu Arakawa,Fullmetal Alchemist - Cang Giả Kim Thuật Sư - Fullmetal Edition Tập 17 [Tặng Kèm Bookmark PVC],280,Nhà Xuất Bản Kim Đồng
186286187,Nhà Lãnh Đạo Không Chức Danh,Robin Sharma,Bài học kinh doanh,178,NXB Trẻ
168293266,Chiến Tranh Tiền Tệ - Phần 2 - Sự Thống Trị Của Quyền Lực Tài Chính ( Tái Bản 2022),Song Hong Bing,"Sách tài chính, tiền tệ",632,Nhà Xuất Bản Lao Động
49747007,Hai Mặt Của Gia Đình,Choi Kwanghuyn,Sách tư duy - Kỹ năng sống,290,Nhà Xuất Bản Thanh Niên
205819593,Tình Đầu Nhạt Phai - Tập 1,Wataru Hinekure,Tình Đầu Nhạt Phai - Tập 1,176,Nhà Xuất Bản Hà Nội
139567621,Thức Tỉnh Mục Đích Sống (Tái Bản),Eckhart Tolle,Sách nghệ thuật sống đẹp,440,Nhà Xuất Bản Tổng hợp TP.HCM
198198468,Hay Chúng Mình Đừng Hứa Hẹn Gì Nhau,Minh Dự,Truyện ngắn - Tản văn - Tạp Văn,152,Nhà Xuất Bản Văn Học
113540577,Anne Tóc Đỏ Dưới Chái Nhà Xanh,Lucy Maud Montgomery,Tiểu Thuyết,430,Nhà Xuất Bản Hội Nhà Văn
205299640,Vừa Tỉnh Dậy Thì Nghe Nói Tôi Kết Hôn Rồi (Tập 3),Mộc Qua Hoàng,Truyện đam mỹ,448,Nhà Xuất Bản Dân Trí
19792256,Chuyện Con Mèo Dạy Hải Âu Bay (Tái Bản 2019),Luis Sepulveda,Văn học thiếu nhi,144,Nhà Xuất Bản Thế Giới
55506686,Tiktok Marketing,Markus Rach,Sách Marketing - Bán hàng,268,Nhà Xuất Bản Thanh Niên
192048665,Vỡ lòng về tiền tệ Money for Beginners,Eddie Reynolds,"Sách tài chính, tiền tệ",130,Nhà Xuất Bản Thế Giới
203231264,Hậu Cung Như Ý Truyện - Tập 1,Lưu Liễm Tử,Truyện ngôn tình,472,Nhà Xuất Bản Văn Học
100931416,Bắt Đầu Với Câu Hỏi Tại Sao - Nghệ Thuật Truyền Cảm Hứng Trong Kinh Doanh (Tái Bản),Simon Sinek,Sách kỹ năng làm việc,346,Nhà Xuất Bản Công Thương
46789754,Hiểu Hết Về Kinh Doanh,DK,Bài học kinh doanh,351,Nhà Xuất Bản Thế Giới
206607121,Kẻ Thù Không Đội Trời Chung Của Tôi Cuối Cùng Cũng Phá Sản - Tập 3,Tương Tử Bối,Truyện đam mỹ,512,Nhà Xuất Bản Hà Nội
9948025,Thần Thoại Bắc Âu,Neil Gaiman,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,315,Nhà Xuất Bản Văn Học
126743459,Fear - Sợ Hãi (Hóa Giải Sợ Hãi Bằng Tình Thương),Thích Nhất Hạnh,Fear - Sợ Hãi (Hóa Giải Sợ Hãi Bằng Tình Thương),224,Nhà Xuất Bản Thế Giới
